CustomerID,purchase_cnt,item_cnt,recency,user_total,user_average,unique_products,average_interval,total_transactions,cancel_frequency,cancel_rate
18068,1,6,289,102.0,102.0,1,0.0,1,0,0.0
16323,1,50,196,208.0,208.0,1,0.0,1,0,0.0
16738,1,3,297,4.0,4.0,1,0.0,1,0,0.0
15442,1,120,248,594.0,594.0,2,0.0,1,0,0.0
12587,1,50,7,104.0,104.0,3,0.0,1,0,0.0
18191,1,140,261,208.0,208.0,7,0.0,1,0,0.0
18249,1,128,17,95.0,95.0,8,0.0,1,0,0.0
16913,1,82,290,113.0,113.0,8,0.0,1,0,0.0
17947,1,168,37,177.0,177.0,9,0.0,1,0,0.0
14935,1,935,297,1785.0,1785.0,10,0.0,1,0,0.0
15327,1,116,52,209.0,209.0,10,0.0,1,0,0.0
15523,1,132,84,412.0,412.0,10,0.0,1,0,0.0
17309,1,41,95,83.0,83.0,11,0.0,1,0,0.0
18215,1,118,89,299.0,299.0,13,0.0,1,0,0.0
15236,1,269,298,321.0,321.0,15,0.0,1,0,0.0
12790,1,164,192,295.0,295.0,20,0.0,1,0,0.0
13239,1,327,261,330.0,330.0,21,0.0,1,0,0.0
15923,1,122,372,127.0,127.0,21,0.0,1,0,0.0
15099,1,343,84,410.0,410.0,23,0.0,1,0,0.0
17859,1,102,304,142.0,142.0,23,0.0,1,0,0.0
15292,1,55,201,178.0,178.0,24,0.0,1,0,0.0
14578,1,240,3,169.0,169.0,24,0.0,1,0,0.0
12824,1,232,59,397.0,397.0,25,0.0,1,0,0.0
16113,1,176,183,161.0,161.0,30,0.0,1,0,0.0
13800,1,331,309,558.0,558.0,33,0.0,1,0,0.0
13753,1,512,287,741.0,741.0,35,0.0,1,0,0.0
15795,1,581,149,610.0,610.0,42,0.0,1,0,0.0
16494,1,675,296,827.0,827.0,47,0.0,1,0,0.0
13708,1,300,271,283.0,283.0,48,0.0,1,0,0.0
17793,1,226,25,300.0,300.0,49,0.0,1,0,0.0
14954,1,117,12,295.0,295.0,75,0.0,1,0,0.0
16344,1,18,158,101.0,101.0,1,0.0,1,0,0.0
17941,1,252,130,305.0,305.0,2,0.0,1,0,0.0
13130,1,32,94,64.0,64.0,2,0.0,1,0,0.0
